Num_Threads,Iter,Time
1,10,3001
2,10,403
3,10,352
4,10,226
5,10,265
6,10,202
7,10,289
8,10,196
9,10,227
10,10,181
11,10,235
12,10,168
13,10,169
14,10,181
15,10,176
16,10,219
1,100,188
2,100,102
3,100,92
4,100,77
5,100,123
6,100,101
7,100,94
8,100,90
9,100,91
10,100,86
11,100,90
12,100,95
13,100,121
14,100,123
15,100,100
16,100,109
1,1000,14718
2,1000,7444
3,1000,4908
4,1000,3807
5,1000,3681
6,1000,3114
7,1000,2680
8,1000,2401
9,1000,2114
10,1000,3376
11,1000,3071
12,1000,2830
13,1000,2967
14,1000,2463
15,1000,2567
16,1000,2419
1,10000,1013978
2,10000,509704
3,10000,353426
4,10000,289702
5,10000,258683
6,10000,269072
7,10000,222369
8,10000,225394
9,10000,210293
10,10000,192210
11,10000,181034
12,10000,175267
13,10000,193461
14,10000,198182
15,10000,203769
16,10000,214861
