Num_Threads,Matrix_len,Time
1,10,169
2,10,125
3,10,94
4,10,81
5,10,75
6,10,74
7,10,81
8,10,82
9,10,87
10,10,76
11,10,99
12,10,112
13,10,109
14,10,103
15,10,112
16,10,117
1,100,1508
2,100,906
3,100,649
4,100,517
5,100,449
6,100,422
7,100,392
8,100,397
9,100,485
10,100,426
11,100,622
12,100,479
13,100,553
14,100,615
15,100,696
16,100,599
1,1000,28095
2,1000,14035
3,1000,10288
4,1000,7699
5,1000,7156
6,1000,6159
7,1000,5196
8,1000,4858
9,1000,5063
10,1000,6764
11,1000,6648
12,1000,5529
13,1000,5021
14,1000,4994
15,1000,5216
16,1000,5428
1,10000,1082217
2,10000,537339
3,10000,361566
4,10000,286005
5,10000,236065
6,10000,235948
7,10000,239175
8,10000,228248
9,10000,212321
10,10000,202676
11,10000,189247
12,10000,179995
13,10000,190653
14,10000,193341
15,10000,198740
16,10000,214860
