Num_Threads,Iter,Time
1,10,3990
2,10,794
3,10,417
4,10,587
5,10,408
6,10,364
7,10,742
8,10,403
9,10,307
10,10,307
11,10,351
12,10,365
13,10,383
14,10,519
15,10,397
16,10,564
1,100,128
2,100,1135
3,100,882
4,100,690
5,100,709
6,100,709
7,100,581
8,100,552
9,100,585
10,100,581
11,100,598
12,100,724
13,100,606
14,100,839
15,100,632
16,100,651
1,1000,6690
2,1000,12801
3,1000,8320
4,1000,6889
5,1000,5772
6,1000,5137
7,1000,4622
8,1000,4195
9,1000,4074
10,1000,4039
11,1000,4018
12,1000,3949
13,1000,4136
14,1000,5240
15,1000,5023
16,1000,5043
1,10000,401941
2,10000,264328
3,10000,177812
4,10000,147024
5,10000,117444
6,10000,119584
7,10000,100120
8,10000,98787
9,10000,97249
10,10000,92566
11,10000,91219
12,10000,87234
13,10000,87543
14,10000,90039
15,10000,93460
16,10000,89960
