Num_Threads,Iter,Time
1,10,80
2,10,171
3,10,180
4,10,159
5,10,131
6,10,136
7,10,154
8,10,204
9,10,187
10,10,203
11,10,201
12,10,222
13,10,188
14,10,200
15,10,211
16,10,205
1,100,112
2,100,289
3,100,259
4,100,258
5,100,259
6,100,268
7,100,270
8,100,317
9,100,327
10,100,351
11,100,358
12,100,381
13,100,389
14,100,415
15,100,424
16,100,453
1,1000,5807
2,1000,3177
3,1000,2604
4,1000,1931
5,1000,1752
6,1000,1524
7,1000,1537
8,1000,1450
9,1000,1367
10,1000,1291
11,1000,1317
12,1000,1267
13,1000,1322
14,1000,1326
15,1000,1292
16,1000,1288
1,10000,396288
2,10000,200244
3,10000,133155
4,10000,99753
5,10000,84242
6,10000,81334
7,10000,76590
8,10000,80609
9,10000,73504
10,10000,71897
11,10000,69450
12,10000,66271
13,10000,70794
14,10000,75128
15,10000,75187
16,10000,74943
