Num_Threads,Iter,Time
1,10,2440
2,10,339
3,10,189
4,10,263
5,10,184
6,10,315
7,10,184
8,10,249
9,10,176
10,10,175
11,10,187
12,10,163
13,10,176
14,10,161
15,10,186
16,10,213
1,100,113
2,100,74
3,100,73
4,100,51
5,100,47
6,100,52
7,100,48
8,100,49
9,100,52
10,100,73
11,100,87
12,100,76
13,100,269
14,100,98
15,100,80
16,100,80
1,1000,5468
2,1000,4011
3,1000,3184
4,1000,2774
5,1000,2474
6,1000,2052
7,1000,1803
8,1000,1596
9,1000,1335
10,1000,1227
11,1000,1224
12,1000,1155
13,1000,955
14,1000,1023
15,1000,913
16,1000,896
1,10000,396994
2,10000,294486
3,10000,222435
4,10000,179665
5,10000,153536
6,10000,152567
7,10000,117183
8,10000,129255
9,10000,115857
10,10000,117521
11,10000,119117
12,10000,109145
13,10000,103561
14,10000,103195
15,10000,91402
16,10000,104270
