Num_Threads,Iter,Time
1,90,19198
2,90,532
3,90,320
4,90,265
5,90,340
6,90,308
7,90,374
8,90,353
9,90,650
10,90,554
11,90,353
12,90,582
13,90,346
14,90,466
15,90,506
16,90,556
1,900,244
2,900,295
3,900,365
4,900,3019
5,900,2469
6,900,2721
7,900,3357
8,900,3116
9,900,3272
10,900,2941
11,900,2084
12,900,2913
13,900,3329
14,900,3540
15,900,2827
16,900,3267
1,9000,1842
2,9000,4334
3,9000,21754
4,9000,31090
5,9000,27354
6,9000,22257
7,9000,22777
8,9000,18740
9,9000,19482
10,9000,22393
11,9000,12362
12,9000,11909
13,9000,13856
14,9000,12552
15,9000,13709
16,9000,15545
1,90000,18144
2,90000,21267
3,90000,55612
4,90000,105600
5,90000,51070
6,90000,54850
7,90000,57864
8,90000,55756
9,90000,58596
10,90000,59420
11,90000,58640
12,90000,62209
13,90000,108524
14,90000,136460
15,90000,143617
16,90000,154585
1,900000,156329
2,900000,192942
3,900000,282647
4,900000,293765
5,900000,395389
6,900000,558486
7,900000,575998
8,900000,539244
9,900000,454389
10,900000,406113
11,900000,403757
12,900000,416839
13,900000,686198
14,900000,843991
15,900000,984346
16,900000,1122987
1,9000000,806654
2,9000000,1180427
3,9000000,1657755
4,9000000,2064285
5,9000000,2661686
6,9000000,3637564
7,9000000,3722662
8,9000000,3818547
9,9000000,3810834
10,9000000,3921256
11,9000000,4127923
12,9000000,4350281
13,9000000,6996049
14,9000000,8603675
15,9000000,10239003
16,9000000,11716147
