Num_Threads,Iter,Time
1,90,61
2,90,46
3,90,48
4,90,56
5,90,99
6,90,109
7,90,63
8,90,139
9,90,143
10,90,173
11,90,123
12,90,126
13,90,126
14,90,153
15,90,132
16,90,156
1,900,177
2,900,473
3,900,1217
4,900,1197
5,900,1473
6,900,1362
7,900,1323
8,900,1228
9,900,1225
10,900,1294
11,900,1175
12,900,1110
13,900,1246
14,900,1186
15,900,1204
16,900,1145
1,9000,1559
2,9000,2021
3,9000,12221
4,9000,10222
5,9000,8184
6,9000,11203
7,9000,10808
8,9000,11245
9,9000,13558
10,9000,14349
11,9000,14863
12,9000,12250
13,9000,12732
14,9000,11752
15,9000,11543
16,9000,11613
1,90000,15785
2,90000,15799
3,90000,26642
4,90000,107460
5,90000,50186
6,90000,44674
7,90000,38457
8,90000,39244
9,90000,34528
10,90000,44687
11,90000,48667
12,90000,48000
13,90000,90564
14,90000,102542
15,90000,111514
16,90000,118964
1,900000,119736
2,900000,363447
3,900000,344764
4,900000,268459
5,900000,349803
6,900000,384800
7,900000,381716
8,900000,406022
9,900000,411183
10,900000,433449
11,900000,462664
12,900000,482705
13,900000,820353
14,900000,1011484
15,900000,1157086
16,900000,1259125
1,9000000,1051830
2,9000000,2236394
3,9000000,2876077
4,9000000,3166527
5,9000000,3630394
6,9000000,3725449
7,9000000,3940355
8,9000000,4049214
9,9000000,4200258
10,9000000,4355214
11,9000000,4627494
12,9000000,4831852
13,9000000,8244763
14,9000000,10232595
15,9000000,11570595
16,9000000,12693712
