Num_Threads,Iter,Time
1,90,45
2,90,40
3,90,38
4,90,48
5,90,42
6,90,45
7,90,46
8,90,51
9,90,46
10,90,64
11,90,72
12,90,65
13,90,69
14,90,75
15,90,76
16,90,79
1,900,43
2,900,35
3,900,34
4,900,37
5,900,42
6,900,42
7,900,40
8,900,42
9,900,56
10,900,59
11,900,59
12,900,87
13,900,74
14,900,110
15,900,82
16,900,90
1,9000,199
2,9000,111
3,9000,83
4,9000,131
5,9000,95
6,9000,88
7,9000,82
8,9000,76
9,9000,94
10,9000,107
11,9000,129
12,9000,125
13,9000,125
14,9000,299
15,9000,176
16,9000,135
1,90000,1837
2,90000,940
3,90000,760
4,90000,583
5,90000,538
6,90000,421
7,90000,351
8,90000,332
9,90000,351
10,90000,452
11,90000,435
12,90000,399
13,90000,371
14,90000,386
15,90000,385
16,90000,380
1,900000,18289
2,900000,7792
3,900000,5486
4,900000,4126
5,900000,4643
6,900000,4079
7,900000,3306
8,900000,2900
9,900000,2524
10,900000,2367
11,900000,2532
12,900000,3646
13,900000,3406
14,900000,3134
15,900000,3387
16,900000,2795
1,9000000,111980
2,9000000,58796
3,9000000,41125
4,9000000,32805
5,9000000,31550
6,9000000,35533
7,9000000,30866
8,9000000,28586
9,9000000,27581
10,9000000,24936
11,9000000,23086
12,9000000,22787
13,9000000,27181
14,9000000,31038
15,9000000,31989
16,9000000,30069
