Num_Threads,Iter,Time
1,90,1306
2,90,361
3,90,188
4,90,263
5,90,290
6,90,163
7,90,153
8,90,165
9,90,216
10,90,174
11,90,200
12,90,152
13,90,150
14,90,159
15,90,176
16,90,188
1,900,39
2,900,57
3,900,64
4,900,63
5,900,61
6,900,67
7,900,67
8,900,70
9,900,77
10,900,78
11,900,94
12,900,87
13,900,78
14,900,84
15,900,79
16,900,81
1,9000,214
2,9000,321
3,9000,485
4,9000,454
5,9000,498
6,9000,474
7,9000,477
8,9000,477
9,9000,388
10,9000,402
11,9000,495
12,9000,490
13,9000,463
14,9000,470
15,9000,506
16,9000,534
1,90000,2008
2,90000,2640
3,90000,2907
4,90000,4240
5,90000,4147
6,90000,4098
7,90000,4547
8,90000,4996
9,90000,5191
10,90000,5068
11,90000,4895
12,90000,4593
13,90000,4537
14,90000,3789
15,90000,5004
16,90000,4826
1,900000,13625
2,900000,35645
3,900000,42740
4,900000,44775
5,900000,48409
6,900000,46532
7,900000,46929
8,900000,49449
9,900000,45542
10,900000,50835
11,900000,50774
12,900000,52738
13,900000,53656
14,900000,50537
15,900000,50404
16,900000,49288
1,9000000,138752
2,9000000,375048
3,9000000,417454
4,9000000,492831
5,9000000,469407
6,9000000,474463
7,9000000,465997
8,9000000,482283
9,9000000,482379
10,9000000,494215
11,9000000,494393
12,9000000,516646
13,9000000,520451
14,9000000,522304
15,9000000,512129
16,9000000,517610
