Num_Threads,Iter,Time
1,90,70
2,90,56
3,90,46
4,90,106
5,90,42
6,90,127
7,90,154
8,90,144
9,90,193
10,90,136
11,90,153
12,90,121
13,90,96
14,90,312
15,90,153
16,90,150
1,900,130
2,900,467
3,900,1145
4,900,946
5,900,851
6,900,1059
7,900,1019
8,900,1131
9,900,1187
10,900,1070
11,900,1224
12,900,1174
13,900,1218
14,900,1167
15,900,1756
16,900,1520
1,9000,1120
2,9000,4162
3,9000,14313
4,9000,11426
5,9000,12461
6,9000,12870
7,9000,14115
8,9000,13310
9,9000,12382
10,9000,12961
11,9000,14685
12,9000,14877
13,9000,16071
14,9000,12409
15,9000,13369
16,9000,12298
1,90000,10230
2,90000,12611
3,90000,18699
4,90000,97371
5,90000,55691
6,90000,35716
7,90000,37277
8,90000,37284
9,90000,36527
10,90000,41664
11,90000,41201
12,90000,46115
13,90000,74443
14,90000,97382
15,90000,106069
16,90000,120052
1,900000,78384
2,900000,295048
3,900000,277999
4,900000,292396
5,900000,324828
6,900000,325064
7,900000,348026
8,900000,358822
9,900000,377498
10,900000,390214
11,900000,422628
12,900000,651284
13,900000,767109
14,900000,975386
15,900000,1099973
16,900000,1193932
1,9000000,774320
2,9000000,1829087
3,9000000,2552389
4,9000000,2823976
5,9000000,3235590
6,9000000,3329652
7,9000000,3622057
8,9000000,3770368
9,9000000,3873815
10,9000000,4128208
11,9000000,4460572
12,9000000,5558728
13,9000000,8903387
14,9000000,10587653
15,9000000,11643265
16,9000000,12764764
