Num_Threads,Iter,Time
1,90,76
2,90,56
3,90,91
4,90,82
5,90,87
6,90,111
7,90,149
8,90,95
9,90,115
10,90,135
11,90,118
12,90,135
13,90,159
14,90,173
15,90,166
16,90,149
1,900,177
2,900,480
3,900,1159
4,900,1131
5,900,1062
6,900,1173
7,900,1165
8,900,1237
9,900,1210
10,900,1230
11,900,1380
12,900,1259
13,900,1407
14,900,1294
15,900,1125
16,900,1159
1,9000,1504
2,9000,4494
3,9000,11770
4,9000,10253
5,9000,10091
6,9000,11551
7,9000,11449
8,9000,10717
9,9000,11710
10,9000,12553
11,9000,12154
12,9000,11831
13,9000,11503
14,9000,11468
15,9000,10576
16,9000,10426
1,90000,15372
2,90000,17985
3,90000,24511
4,90000,98451
5,90000,56623
6,90000,36325
7,90000,39008
8,90000,39239
9,90000,42758
10,90000,44350
11,90000,41659
12,90000,56080
13,90000,74322
14,90000,89830
15,90000,104716
16,90000,114268
1,900000,117139
2,900000,132842
3,900000,175774
4,900000,180909
5,900000,241954
6,900000,379495
7,900000,398190
8,900000,415944
9,900000,430052
10,900000,435026
11,900000,445296
12,900000,468514
13,900000,744647
14,900000,902575
15,900000,1059580
16,900000,1163065
1,9000000,985030
2,9000000,1324808
3,9000000,1709741
4,9000000,1801488
5,9000000,2936061
6,9000000,3934885
7,9000000,4239147
8,9000000,4197497
9,9000000,4239025
10,9000000,4441225
11,9000000,4692195
12,9000000,4904907
13,9000000,8004311
14,9000000,9497994
15,9000000,11605633
16,9000000,12085197
