Num_Threads,Iter,Time
1,10,55
2,10,47
3,10,38
4,10,44
5,10,37
6,10,57
7,10,41
8,10,45
9,10,47
10,10,46
11,10,54
12,10,54
13,10,58
14,10,67
15,10,71
16,10,67
1,100,25
2,100,24
3,100,25
4,100,27
5,100,31
6,100,32
7,100,47
8,100,43
9,100,48
10,100,47
11,100,50
12,100,52
13,100,60
14,100,63
15,100,68
16,100,67
1,1000,34
2,1000,33
3,1000,31
4,1000,36
5,1000,32
6,1000,41
7,1000,47
8,1000,49
9,1000,47
10,1000,50
11,1000,49
12,1000,49
13,1000,59
14,1000,61
15,1000,70
16,1000,70
1,10000,132
2,10000,82
3,10000,78
4,10000,66
5,10000,63
6,10000,61
7,10000,73
8,10000,59
9,10000,59
10,10000,63
11,10000,64
12,10000,63
13,10000,74
14,10000,82
15,10000,86
16,10000,83
1,100000,1154
2,100000,789
3,100000,398
4,100000,407
5,100000,354
6,100000,286
7,100000,256
8,100000,262
9,100000,214
10,100000,199
11,100000,188
12,100000,170
13,100000,269
14,100000,250
15,100000,228
16,100000,284
1,1000000,11142
2,1000000,5594
3,1000000,3746
4,1000000,3847
5,1000000,3112
6,1000000,2639
7,1000000,2239
8,1000000,1975
9,1000000,1774
10,1000000,1603
11,1000000,1669
12,1000000,2307
13,1000000,2212
14,1000000,1999
15,1000000,1843
16,1000000,1994
