Num_Threads,Iter,Time
1,90,87.1
1,900,33.1
1,9000,141
1,90000,1119.9
1,900000,11400.6
1,9000000,118155
2,90,57.8
2,900,53.8
2,9000,261.9
2,90000,1595.4
2,900000,11803.6
2,9000000,128238
3,90,68.3
3,900,55.7
3,9000,127.9
3,90000,1310.1
3,900000,11503.5
3,9000000,123498
4,90,47.4
4,900,44.8
4,9000,203.9
4,90000,1783.5
4,900000,17486.9
4,9000000,117476
5,90,36.1
5,900,27.8
5,9000,124.7
5,90000,1446
5,900000,9014.8
5,9000000,88931.9
6,90,38.4
6,900,36.2
6,9000,118.5
6,90000,1160.7
6,900000,9742.6
6,9000000,103114
7,90,33
7,900,26.8
7,9000,251.2
7,90000,1350.9
7,900000,10877.6
7,9000000,97888.5
8,90,32
8,900,27.2
8,9000,119.5
8,90000,1106.3
8,900000,11713
8,9000000,99522.9
9,90,32.8
9,900,26.9
9,9000,122
9,90000,982.2
9,900000,10203.8
9,9000000,98803.7
10,90,31.4
10,900,26.3
10,9000,107.6
10,90000,1232.2
10,900000,9676.2
10,9000000,95651.3
11,90,32.1
11,900,27
11,9000,117.5
11,90000,1736
11,900000,9755.5
11,9000000,99315.8
12,90,33
12,900,26.7
12,9000,117.3
12,90000,1105.6
12,900000,10681.5
12,9000000,100879
13,90,32
13,900,27.9
13,9000,118.2
13,90000,1104.5
13,900000,11610.6
13,9000000,113417
14,90,30.9
14,900,29.3
14,9000,111.4
14,90000,920.9
14,900000,9371.1
14,9000000,93572.1
15,90,43.7
15,900,27
15,9000,117.2
15,90000,1100.3
15,900000,10948
15,9000000,98098.3
16,90,40.5
16,900,26.4
16,9000,119.7
16,90000,1008.5
16,900000,9237.6
16,9000000,99716.4
